iter	Logloss
0	0.6718501198
1	0.6550706013
2	0.6392283465
3	0.6224928969
4	0.6065217962
5	0.5910240702
6	0.5749917716
7	0.5620239149
8	0.5503020752
9	0.5370331624
10	0.5270800413
11	0.5145342812
12	0.5040973236
13	0.4939328019
14	0.4832315936
15	0.4740957257
16	0.4641251505
17	0.455418209
18	0.4460805348
19	0.4378081571
20	0.4303913286
21	0.4237533217
22	0.4156764083
23	0.4088473278
24	0.4026633444
25	0.3981023487
26	0.3912549468
27	0.3848145453
28	0.3784031165
29	0.3731669939
30	0.3686885529
31	0.3644608655
32	0.3594772854
33	0.3553452161
34	0.3513011221
35	0.3469909885
36	0.3427625151
37	0.3392853813
38	0.3362620271
39	0.3321905864
40	0.3296957067
41	0.3267143073
42	0.323888694
43	0.3208879434
44	0.3184175373
45	0.3163311486
46	0.313799355
47	0.3120632138
48	0.3101846753
49	0.308115578
50	0.305770088
51	0.3037048123
52	0.3013552298
53	0.2990837571
54	0.2969048671
55	0.2952763776
56	0.2941251657
57	0.292165536
58	0.2905784051
59	0.2885409096
60	0.2863874418
61	0.2842972588
62	0.2834357741
63	0.2819738574
64	0.2804260254
65	0.2794297864
66	0.2786028305
67	0.2775929859
68	0.2766063954
69	0.2754530695
70	0.2744943134
71	0.2730899357
72	0.271389841
73	0.2701544753
74	0.2690772807
75	0.2679057689
76	0.2671587929
77	0.2663255221
78	0.2651926586
79	0.2643716653
80	0.2635086629
81	0.2625089276
82	0.2617945561
83	0.2607741686
84	0.2600227749
85	0.259279512
86	0.2584999857
87	0.257882479
88	0.257012186
89	0.2559068588
90	0.2554256785
91	0.2545748722
92	0.2539756328
93	0.2530406457
94	0.2523670095
95	0.2517871213
96	0.2511631371
97	0.2503505185
98	0.2497247726
99	0.248758211
100	0.2478233053
101	0.2469911186
102	0.2463113842
103	0.2453381283
104	0.2448367293
105	0.2440872057
106	0.243782057
107	0.2430721845
108	0.242637702
109	0.2419830647
110	0.2413230882
111	0.2404770792
112	0.2397303742
113	0.2389097061
114	0.2386159135
115	0.2378617553
116	0.2371868994
117	0.2366064963
118	0.235926789
119	0.2351328984
120	0.2343272993
121	0.2338043538
122	0.2335033789
123	0.2329685353
124	0.2323299428
125	0.2316846289
126	0.2310226197
127	0.2306443209
128	0.2300566814
129	0.229474354
130	0.2286226804
131	0.2280603006
132	0.2276895906
133	0.2268627431
134	0.2262702115
135	0.2255272874
136	0.225004247
137	0.2246056077
138	0.2242195306
139	0.2235269496
140	0.2228736674
141	0.2218334544
142	0.2207800152
143	0.2203358029
144	0.2197691679
145	0.2194093802
146	0.2187149834
147	0.2180234865
148	0.2177360901
149	0.2173590923
150	0.2167825919
151	0.2163274707
152	0.2158421572
153	0.2154083794
154	0.2150363278
155	0.2146166976
156	0.2142371657
157	0.2137277037
158	0.2131275292
159	0.212676758
160	0.212125043
161	0.2118479998
162	0.2114799459
163	0.2108032335
164	0.2104812812
165	0.2101134576
166	0.2095876392
167	0.2091812215
168	0.2088938251
169	0.208635564
170	0.208215473
171	0.2077440902
172	0.2070669442
173	0.2067556432
174	0.2063496998
175	0.2057069741
176	0.205218056
177	0.2045351235
178	0.2041633565
179	0.2039533923
180	0.2036512792
181	0.2034249585
182	0.2030785461
183	0.2026049138
184	0.202159387
185	0.2016253565
186	0.2013631519
187	0.201001291
188	0.2006974161
189	0.2003349724
190	0.1998875078
191	0.1995851507
192	0.1991195137
193	0.1983816171
194	0.198005744
195	0.1977288634
196	0.1973911102
197	0.1970062933
198	0.1965391386
199	0.1962444786
200	0.1959429617
201	0.1954684622
202	0.1951232287
203	0.1948908371
204	0.1943815377
205	0.1939846872
206	0.1934249227
207	0.19314128
208	0.1928973562
209	0.1922793617
210	0.1918805192
211	0.1916645789
212	0.191199511
213	0.1908134881
214	0.1904977964
215	0.1901946534
216	0.1897326481
217	0.1892875143
218	0.1890703272
219	0.188787999
220	0.1883749276
221	0.1879687538
222	0.1876569379
223	0.187313317
224	0.1869438402
225	0.1865965604
226	0.1862643362
227	0.1858932333
228	0.1855468072
229	0.1851867351
230	0.184817841
231	0.1842281416
232	0.1838745334
233	0.1837157932
234	0.1833442702
235	0.1829423379
236	0.1826348449
237	0.182050959
238	0.1818261697
239	0.1815990224
240	0.1811244551
241	0.180759247
242	0.1805043195
243	0.1800694847
244	0.1796201093
245	0.1792830201
246	0.1790133353
247	0.178617325
248	0.1785086298
249	0.1782965787
250	0.1778878166
251	0.1776581217
252	0.1774319772
253	0.1771454752
254	0.1768315588
255	0.1765865644
256	0.1764051122
257	0.1759931791
258	0.1757521418
259	0.1754475622
260	0.1751680527
261	0.1748793011
262	0.1745294872
263	0.1742811864
264	0.1740344574
265	0.1737723884
266	0.1733540726
267	0.1730669201
268	0.1727950941
269	0.1725488937
270	0.1722013429
271	0.1720548803
272	0.1718483039
273	0.1715439412
274	0.1712005778
275	0.1710622188
276	0.1707815844
